"knrNavn","alder","2013M07","2013M08","2013M09","2013M10","2013M11","2013M12","2014M01","2014M02","2014M03","2014M04","2014M05","2014M06","2014M07","2014M08","2014M09","2014M10","2014M11","2014M12"
"0101 Halden (-2019)","15-74 år",3.4,3.4,3.3,3.4,3.5,3.7,3.8,3.7,3.9,3.8,3.6,3.7,3.5,3.7,3.6,3.1,3,3.2
"0104 Moss (-2019)","15-74 år",3.6,3.5,3.3,3.2,3.2,3.3,4,4,3.8,3.8,3.9,3.7,3.8,3.7,3.7,3.7,3.4,3.4
"0105 Sarpsborg (1992-2019)","15-74 år",4,3.9,3.6,3.5,3.5,3.7,4.4,4.3,4.2,4.1,4,3.8,4.2,4.2,4,3.6,3.5,3.4
"0106 Fredrikstad (1994-2019)","15-74 år",4.7,4.7,4.4,4.1,4.2,4.6,5,4.8,4.7,4.6,4.5,4.3,4.4,4.1,4,3.9,3.9,4
"0111 Hvaler (-2019)","15-74 år",2.1,2.4,2.4,1.9,1.8,1.8,2.3,2.5,2.2,1.8,1.6,1.6,1.8,1.7,1.6,1.7,1.6,1.6
"0118 Aremark (-2019)","15-74 år",2.7,2.7,2.6,2.7,3.2,2.6,2.8,3,2.8,2.2,1.9,2.3,1.6,3,2.5,1.7,2.3,1.7
"0119 Marker (-2019)","15-74 år",3,2.8,2.7,2.3,2.3,2.4,3,2.9,2.9,2.6,2.5,2.6,2.9,3,2.3,2.3,2.5,2.4
"0121 Rømskog (-2019)","15-74 år",2,2.3,2.6,2.3,2,2.3,2.3,2,2.6,2.3,2,2,2,2,1.7,2,1.5,2
"0122 Trøgstad (-2019)","15-74 år",2.5,2.9,2.4,2,2.3,2.6,2.7,2.5,2.5,2.5,2.3,2.3,2.7,2.1,2,1.8,1.8,1.4
"0123 Spydeberg (-2019)","15-74 år",2.7,2.2,1.9,2.2,2.1,2.1,2.3,2.1,2.1,2.4,2.3,2.7,3,3,2.6,2.4,2.3,2.2
"0124 Askim (-2019)","15-74 år",3.9,4,3.3,3.5,3.3,3.4,4.1,4.2,4.3,4.4,4.2,4.3,4.7,4.5,4.6,4.2,4,3.6
"0125 Eidsberg (-2019)","15-74 år",4.1,4,3.2,3.2,3.4,3.4,4.6,4.3,3.9,3.3,3.7,4.1,4.2,4,3.8,3.7,3.1,3.4
"0127 Skiptvet (-2019)","15-74 år",2.5,2.8,1.9,2.3,2.2,2.2,3.4,3.1,2.7,2.7,2.4,2.7,3,2.7,2.5,2.3,1.8,1.9
"0128 Rakkestad (-2019)","15-74 år",2.2,2.8,2.4,2.1,2.4,2.3,3,2.8,3.1,3.1,2.9,2.6,3,3.1,2.9,2.7,2.7,2.7
"0135 Råde (-2019)","15-74 år",2.6,2.3,2.5,2.5,2.7,3,3.4,3.7,3.4,3.2,2.9,2.8,3.1,3.1,3,2.8,2.5,2.6
"0136 Rygge (-2019)","15-74 år",2.4,2.4,2.4,2.3,2.2,2.5,2.9,2.8,2.9,2.9,2.6,2.7,2.7,2.9,2.9,2.7,2.4,2.3
"0137 Våler (Østfold) (-2019)","15-74 år",2.8,2.2,2.7,2.9,2.6,2.6,2.9,3.4,2.9,2.6,2.5,2.4,2.5,2.3,2.3,2,1.3,1.6
"0138 Hobøl (-2019)","15-74 år",2.8,2.6,2.7,2.7,2.6,2.4,2.9,3.6,3.7,3.8,3.3,3.4,3.7,4,4.2,3.1,2.7,3
