"knr","kname","month","age","unemp"
"1","10","Vest-Agder (-2019)","1999M01","15-74 years",2.9
"2","10","Vest-Agder (-2019)","1999M02","15-74 years",2.6
"3","10","Vest-Agder (-2019)","1999M03","15-74 years",2.4
"4","10","Vest-Agder (-2019)","1999M04","15-74 years",2.4
"5","10","Vest-Agder (-2019)","1999M05","15-74 years",2
"6","10","Vest-Agder (-2019)","1999M06","15-74 years",2.6
"7","10","Vest-Agder (-2019)","1999M07","15-74 years",3
"8","10","Vest-Agder (-2019)","1999M08","15-74 years",3.3
"9","10","Vest-Agder (-2019)","1999M09","15-74 years",2.8
"10","10","Vest-Agder (-2019)","1999M10","15-74 years",3
"11","10","Vest-Agder (-2019)","1999M11","15-74 years",2.8
"12","10","Vest-Agder (-2019)","1999M12","15-74 years",2.7
"13","10","Vest-Agder (-2019)","2000M01","15-74 years",3.2
"14","10","Vest-Agder (-2019)","2000M02","15-74 years",3
"15","10","Vest-Agder (-2019)","2000M03","15-74 years",3.1
"16","10","Vest-Agder (-2019)","2000M04","15-74 years",3
"17","10","Vest-Agder (-2019)","2000M05","15-74 years",2.9
"18","10","Vest-Agder (-2019)","2000M06","15-74 years",3.1
"19","10","Vest-Agder (-2019)","2000M07","15-74 years",3.5
"20","10","Vest-Agder (-2019)","2000M08","15-74 years",3.6
"21","10","Vest-Agder (-2019)","2000M09","15-74 years",3.1
"22","10","Vest-Agder (-2019)","2000M10","15-74 years",3
"23","10","Vest-Agder (-2019)","2000M11","15-74 years",3
"24","10","Vest-Agder (-2019)","2000M12","15-74 years",3.2
"25","10","Vest-Agder (-2019)","2001M01","15-74 years",3.7
"26","10","Vest-Agder (-2019)","2001M02","15-74 years",3.4
"27","10","Vest-Agder (-2019)","2001M03","15-74 years",3.3
"28","10","Vest-Agder (-2019)","2001M04","15-74 years",3.1
"29","10","Vest-Agder (-2019)","2001M05","15-74 years",2.8
"30","10","Vest-Agder (-2019)","2001M06","15-74 years",2.8
"31","10","Vest-Agder (-2019)","2001M07","15-74 years",3.1
"32","10","Vest-Agder (-2019)","2001M08","15-74 years",3.3
"33","10","Vest-Agder (-2019)","2001M09","15-74 years",3.1
"34","10","Vest-Agder (-2019)","2001M10","15-74 years",3
"35","10","Vest-Agder (-2019)","2001M11","15-74 years",3.2
"36","10","Vest-Agder (-2019)","2001M12","15-74 years",3.1
"37","10","Vest-Agder (-2019)","2002M01","15-74 years",3.7
"38","10","Vest-Agder (-2019)","2002M02","15-74 years",3.4
"39","10","Vest-Agder (-2019)","2002M03","15-74 years",3.3
"40","10","Vest-Agder (-2019)","2002M04","15-74 years",3.2
"41","10","Vest-Agder (-2019)","2002M05","15-74 years",3
"42","10","Vest-Agder (-2019)","2002M06","15-74 years",3.4
"43","10","Vest-Agder (-2019)","2002M07","15-74 years",3.7
"44","10","Vest-Agder (-2019)","2002M08","15-74 years",3.8
"45","10","Vest-Agder (-2019)","2002M09","15-74 years",3.6
"46","10","Vest-Agder (-2019)","2002M10","15-74 years",3.7
"47","10","Vest-Agder (-2019)","2002M11","15-74 years",3.7
"48","10","Vest-Agder (-2019)","2002M12","15-74 years",3.9
"49","10","Vest-Agder (-2019)","1999M01","15-29 years",4.3
"50","10","Vest-Agder (-2019)","1999M02","15-29 years",3.8
"51","10","Vest-Agder (-2019)","1999M03","15-29 years",3.6
"52","10","Vest-Agder (-2019)","1999M04","15-29 years",3.5
"53","10","Vest-Agder (-2019)","1999M05","15-29 years",2.9
"54","10","Vest-Agder (-2019)","1999M06","15-29 years",3.8
"55","10","Vest-Agder (-2019)","1999M07","15-29 years",4.5
"56","10","Vest-Agder (-2019)","1999M08","15-29 years",5.3
"57","10","Vest-Agder (-2019)","1999M09","15-29 years",4.3
"58","10","Vest-Agder (-2019)","1999M10","15-29 years",4.4
"59","10","Vest-Agder (-2019)","1999M11","15-29 years",3.9
"60","10","Vest-Agder (-2019)","1999M12","15-29 years",3.9
