country,continent,year,lifeExp,pop,gdpPercap
Argentina,Americas,1962-01-01,64.43,21153042,5711.17934
Argentina,Americas,1967-01-01,64.91,22828872,6255.18402
Argentina,Americas,1972-01-01,66.19,24653172,7368.50577
Argentina,Americas,1977-01-01,68.41,26661397,7743.58231
Argentina,Americas,1982-01-01,70.77,28794550,7210.34702
Argentina,Americas,1987-01-01,71.99,31184411,7294.06426
Argentina,Americas,1992-01-01,72.59,33529320,7157.32831
Argentina,Americas,1997-01-01,73.48,35657438,8543.02853
Argentina,Americas,2002-01-01,74.21,37681743,6854.29408
Argentina,Americas,2007-01-01,75.11,39684303,9901.51188
Argentina,Americas,2012-01-01,76.01,41755188,10649.83729
Argentina,Americas,2017-01-01,76.66,43937143,10404.26351
Australia,Oceania,1962-01-01,71.15,10643420,19245.62026
Australia,Oceania,1967-01-01,71.34,11899644,22964.70014
Australia,Oceania,1972-01-01,71.63,13244163,26794.02202
Australia,Oceania,1977-01-01,73.28,14092545,28625.19424
Australia,Oceania,1982-01-01,74.85,14979203,30912.22222
Australia,Oceania,1987-01-01,76.04,16183159,33126.79271
Australia,Oceania,1992-01-01,77.44,17402179,35034.53266
Australia,Oceania,1997-01-01,78.63,18387205,40153.61225
Australia,Oceania,2002-01-01,80.15,19401366,45806.69447
Australia,Oceania,2007-01-01,81.4,20916339,51024.24113
Australia,Oceania,2012-01-01,82.48,22903951,53682.04722
Australia,Oceania,2017-01-01,82.39,24584619,56095.18632
Austria,Europe,1962-01-01,69.75,7156836,13953.9502
Austria,Europe,1967-01-01,70.37,7397168,16783.88992
Austria,Europe,1972-01-01,70.72,7581120,21628.9664
Austria,Europe,1977-01-01,72.26,7636573,25736.55155
Austria,Europe,1982-01-01,73.28,7602177,28018.54125
Austria,Europe,1987-01-01,74.96,7639351,30677.5444
Austria,Europe,1992-01-01,76.08,7830938,35045.84476
Austria,Europe,1997-01-01,77.58,8032873,38084.7025
Austria,Europe,2002-01-01,78.92,8134403,42859.32994
Austria,Europe,2007-01-01,80.22,8313731,47510.29379
Austria,Europe,2012-01-01,81.02,8502230,48172.23812
Austria,Europe,2017-01-01,81.77,8819902,49112.73289
Burundi,Africa,1962-01-01,43.25,2907320,193.19188
Burundi,Africa,1967-01-01,44.79,3253215,236.53568
Burundi,Africa,1972-01-01,18.51,3569655,247.104
Burundi,Africa,1977-01-01,46.27,3854446,294.22534
Burundi,Africa,1982-01-01,47.62,4379727,292.27781
Burundi,Africa,1987-01-01,48.6,5027143,322.08626
Burundi,Africa,1992-01-01,48.35,5685569,332.76588
Burundi,Africa,1997-01-01,43.64,6122130,232.30548
Burundi,Africa,2002-01-01,46.63,6704118,232.4665
Burundi,Africa,2007-01-01,54.94,7862226,225.85909
Burundi,Africa,2012-01-01,59.31,9245992,238.81605
Burundi,Africa,2017-01-01,61.55,10827010,214.13925
Belgium,Europe,1962-01-01,70.3,9283545,14276.53873
Belgium,Europe,1967-01-01,71,9529046,17015.6626
Belgium,Europe,1972-01-01,71.42,9692845,21563.87078
Belgium,Europe,1977-01-01,72.71,9816693,24697.30017
Belgium,Europe,1982-01-01,73.74,9889819,27162.53261
Belgium,Europe,1987-01-01,75.24,9942281,29522.57888
Belgium,Europe,1992-01-01,76.36,10078098,33518.23129
Belgium,Europe,1997-01-01,77.4,10223785,36403.25077
Belgium,Europe,2002-01-01,78.27,10364879,40385.86895
Belgium,Europe,2007-01-01,79.58,10697576,44710.38502
Belgium,Europe,2012-01-01,80.26,11085355,44361.20847
Belgium,Europe,2017-01-01,81.38,11419752,46637.51089
Benin,Africa,1962-01-01,42,2502897,688.94621
Benin,Africa,1967-01-01,44.99,2735308,776.20634
Benin,Africa,1972-01-01,47.96,3043563,797.64718
Benin,Africa,1977-01-01,50.05,3433445,763.2764
Benin,Africa,1982-01-01,52.23,3927717,863.95755
Benin,Africa,1987-01-01,54.51,4535262,835.91399
Benin,Africa,1992-01-01,55.96,5331805,835.26111
Benin,Africa,1997-01-01,57.05,6281644,895.44403
Benin,Africa,2002-01-01,58.11,7295400,985.21335
Benin,Africa,2007-01-01,59.98,8454790,1029.03226
Benin,Africa,2012-01-01,62.17,9729254,1057.66774
Benin,Africa,2017-01-01,64.63,11175192,1166.76057
Burkina Faso,Africa,1962-01-01,39.88,4960328,288.88545
Burkina Faso,Africa,1967-01-01,42.83,5343025,307.47459
Burkina Faso,Africa,1972-01-01,45.17,5825174,308.07844
Burkina Faso,Africa,1977-01-01,46.92,6398933,342.28569
Burkina Faso,Africa,1982-01-01,49.1,7158259,382.02342
Burkina Faso,Africa,1987-01-01,50.47,8140080,386.98167
Burkina Faso,Africa,1992-01-01,50.59,9297110,397.89271
Burkina Faso,Africa,1997-01-01,50.81,10665552,453.63654
Burkina Faso,Africa,2002-01-01,53.36,12293097,514.18987
Burkina Faso,Africa,2007-01-01,56.53,14252029,600.45611
Burkina Faso,Africa,2012-01-01,59.2,16571252,692.44504
Burkina Faso,Africa,2017-01-01,61.68,19193236,771.25192
Bangladesh,Asia,1962-01-01,44.95,50752150,393.63345
Bangladesh,Asia,1967-01-01,45.98,59034250,382.20766
Bangladesh,Asia,1972-01-01,52.2,66625706,322.33441
Bangladesh,Asia,1977-01-01,52.97,73463593,344.43557
Bangladesh,Asia,1982-01-01,54.52,83932132,373.55135
Bangladesh,Asia,1987-01-01,56.88,95671159,398.58813
Bangladesh,Asia,1992-01-01,60.15,107983708,428.66102
Bangladesh,Asia,1997-01-01,63.71,120160571,481.12245
Bangladesh,Asia,2002-01-01,66.51,132478077,551.90305
Bangladesh,Asia,2007-01-01,68.07,142660381,687.32309
Bangladesh,Asia,2012-01-01,71.08,151005733,865.74989
Bangladesh,Asia,2017-01-01,73.12,159685421,1127.27177
Bahamas,Americas,1962-01-01,63.04,121092,19608.7393
Bahamas,Americas,1967-01-01,64.54,152621,25081.9423
Bahamas,Americas,1972-01-01,66.24,177863,23530.94659
Bahamas,Americas,1977-01-01,67.91,197100,18599.81512
Bahamas,Americas,1982-01-01,69.16,220182,24734.32991
Bahamas,Americas,1987-01-01,70.17,243265,29099.69578
Bahamas,Americas,1992-01-01,71.24,266028,26348.84556
Bahamas,Americas,1997-01-01,71.31,287363,28022.67923
Bahamas,Americas,2002-01-01,72.4,307657,32236.44879
Bahamas,Americas,2007-01-01,73.51,337387,31485.49374
Bahamas,Americas,2012-01-01,73.43,363581,28799.92141
Bahamas,Americas,2017-01-01,73.73,381749,27113.67537
Belize,Americas,1962-01-01,62.11,97392,1122.70719
Belize,Americas,1967-01-01,65.1,112707,1233.19306
Belize,Americas,1972-01-01,67.53,127152,1481.21944
Belize,Americas,1977-01-01,68.98,136990,1813.992
Belize,Americas,1982-01-01,70.02,151486,2181.08465
Belize,Americas,1987-01-01,71.86,174333,2211.83014
Belize,Americas,1992-01-01,72.3,194324,3426.71279
Belize,Americas,1997-01-01,71.12,221575,3381.19472
Belize,Americas,2002-01-01,71.25,262387,3992.98377
Belize,Americas,2007-01-01,73.17,299031,4311.07404
Belize,Americas,2012-01-01,74.02,338001,4253.09941
Belize,Americas,2017-01-01,74.16,375775,4211.44675
Bolivia,Americas,1962-01-01,46.8,3802996,1042.06402
Bolivia,Americas,1967-01-01,48.68,4208683,1249.67795
Bolivia,Americas,1972-01-01,51.06,4682392,1520.2682
Bolivia,Americas,1977-01-01,54.11,5228253,1746.45013
Bolivia,Americas,1982-01-01,56.74,5814344,1524.61415
Bolivia,Americas,1987-01-01,59.18,6442824,1293.28609
Bolivia,Americas,1992-01-01,61.79,7160917,1391.48017
Bolivia,Americas,1997-01-01,64.67,7937453,1570.82498
Bolivia,Americas,2002-01-01,67.57,8742822,1606.90468
Bolivia,Americas,2007-01-01,69.68,9558438,1799.49855
Bolivia,Americas,2012-01-01,71.41,10377677,2094.02422
Bolivia,Americas,2017-01-01,72.75,11192853,2490.95631
Brazil,Americas,1962-01-01,57.12,76514329,3740.43328
Brazil,Americas,1967-01-01,59.33,88035815,3821.46106
Brazil,Americas,1972-01-01,61.39,99859388,5587.88626
Brazil,Americas,1977-01-01,63.73,112425392,7453.59017
Brazil,Americas,1982-01-01,65.49,126498322,7660.57857
Brazil,Americas,1987-01-01,66.74,140891606,8445.71201
Brazil,Americas,1992-01-01,68.42,154259382,7791.75743
Brazil,Americas,1997-01-01,70.24,167209046,8744.84635
Brazil,Americas,2002-01-01,72.06,179537523,8954.83725
Brazil,Americas,2007-01-01,73.74,190130445,10293.53034
Brazil,Americas,2012-01-01,74.86,199287292,11745.77593
Brazil,Americas,2017-01-01,75.51,207833825,11021.71826
Botswana,Africa,1962-01-01,52.21,523777,443.98436
Botswana,Africa,1967-01-01,54.11,584098,536.99618
Botswana,Africa,1972-01-01,56.89,667096,1114.44321
Botswana,Africa,1977-01-01,59.57,800532,1647.32493
Botswana,Africa,1982-01-01,61.66,962859,2405.8169
Botswana,Africa,1987-01-01,63.76,1154904,3193.81425
Botswana,Africa,1992-01-01,62.33,1363541,4313.86398
Botswana,Africa,1997-01-01,57.91,1540424,4948.40523
Botswana,Africa,2002-01-01,51.91,1704637,5341.92009
Botswana,Africa,2007-01-01,55.77,1875458,6400.71757
Botswana,Africa,2012-01-01,63.16,2039551,6944.80764
Botswana,Africa,2017-01-01,69.07,2205076,7859.16728
Central African Republic,Africa,1962-01-01,41.66,1551908,586.41228
Central African Republic,Africa,1967-01-01,44.77,1708306,574.25185
Central African Republic,Africa,1972-01-01,47.29,1867786,590.26077
Central African Republic,Africa,1977-01-01,47.8,2039914,643.47288
Central African Republic,Africa,1982-01-01,49.13,2335339,562.07511
Central African Republic,Africa,1987-01-01,48.61,2646836,510.44211
Central African Republic,Africa,1992-01-01,46.55,2959236,431.21307
Central African Republic,Africa,1997-01-01,44.74,3392432,429.02507
Central African Republic,Africa,2002-01-01,44.39,3802129,438.25313
Central African Republic,Africa,2007-01-01,46.01,4198004,440.17644
Central African Republic,Africa,2012-01-01,49.63,4436411,528.64493
Central African Republic,Africa,2017-01-01,51.87,4596023,371.10879
Chile,Americas,1962-01-01,58.77,8476895,3794.01077
Chile,Americas,1967-01-01,61.35,9312091,4361.99682
Chile,Americas,1972-01-01,63.65,10103675,4773.97747
Chile,Americas,1977-01-01,67.85,10922777,4288.21906
Chile,Americas,1982-01-01,71.13,11743909,4767.19947
Chile,Americas,1987-01-01,73.09,12642917,5109.17062
